filename,model_type,num_params,chans,groups,scale,rrmse,rmse,corr,sdr
best_conv5SingleHeadNet_final_5conv_ch8_grp4_scale1_mse_only_denoise_epoch_50_weights_2353_params_gen_metrics.txt,5conv,2353,8,4,1,0.712799728,0.712799668,0.705468714,2.940650225
best_conv5SingleHeadNet_final_5conv_ch8_grp4_scale2_mse_only_denoise_epoch_50_weights_3169_params_gen_metrics.txt,5conv,3169,8,4,2,0.706426263,0.706426203,0.711437583,3.018664122
best_conv5SingleHeadNet_final_5conv_ch8_grp4_scale4_mse_only_denoise_epoch_50_weights_6145_params_gen_metrics.txt,5conv,6145,8,4,4,0.705226362,0.705226302,0.71208632,3.033430338
best_conv5SingleHeadNet_final_5conv_ch8_grp8_scale1_mse_only_denoise_epoch_50_weights_1961_params_gen_metrics.txt,5conv,1961,8,8,1,0.70562619,0.70562613,0.711564302,3.028506994
best_conv5SingleHeadNet_final_5conv_ch8_grp8_scale2_mse_only_denoise_epoch_50_weights_2441_params_gen_metrics.txt,5conv,2441,8,8,2,0.704302788,0.704302728,0.711832345,3.044812202
best_conv5SingleHeadNet_final_5conv_ch8_grp8_scale4_mse_only_denoise_epoch_50_weights_4073_params_gen_metrics.txt,5conv,4073,8,8,4,0.70752877,0.70752871,0.708834767,3.005118608
best_conv6SingleHeadNet_final_6conv_ch1_grp1_scale1_mse_only_denoise_epoch_50_weights_111_params_gen_metrics.txt,6conv,111,1,1,1,0.746395051,0.746394992,0.678643286,2.540625334
best_conv6SingleHeadNet_final_6conv_ch1_grp1_scale2_mse_only_denoise_epoch_50_weights_265_params_gen_metrics.txt,6conv,265,1,1,2,0.716119051,0.716118991,0.701804936,2.900296211
best_conv6SingleHeadNet_final_6conv_ch1_grp1_scale4_mse_only_denoise_epoch_50_weights_849_params_gen_metrics.txt,6conv,849,1,1,4,0.705280662,0.705280602,0.721340477,3.032761097
best_conv6SingleHeadNet_final_6conv_ch2_grp1_scale1_mse_only_denoise_epoch_50_weights_385_params_gen_metrics.txt,6conv,385,2,1,1,0.717246413,0.717246354,0.709352851,2.886632681
best_conv6SingleHeadNet_final_6conv_ch2_grp1_scale2_mse_only_denoise_epoch_50_weights_977_params_gen_metrics.txt,6conv,977,2,1,2,0.697717607,0.697717547,0.716388941,3.126406908
best_conv6SingleHeadNet_final_6conv_ch2_grp1_scale4_mse_only_denoise_epoch_50_weights_3265_params_gen_metrics.txt,6conv,3265,2,1,4,0.726810634,0.726810575,0.696423411,2.771574974
best_conv6SingleHeadNet_final_6conv_ch2_grp2_scale1_mse_only_denoise_epoch_50_weights_329_params_gen_metrics.txt,6conv,329,2,2,1,0.714105666,0.714105606,0.707053781,2.924750805
best_conv6SingleHeadNet_final_6conv_ch2_grp2_scale2_mse_only_denoise_epoch_50_weights_753_params_gen_metrics.txt,6conv,753,2,2,2,0.708100677,0.708100617,0.708754063,2.998100281
best_conv6SingleHeadNet_final_6conv_ch2_grp2_scale4_mse_only_denoise_epoch_50_weights_2369_params_gen_metrics.txt,6conv,2369,2,2,4,0.713722706,0.713722646,0.709563196,2.929409981
best_conv6SingleHeadNet_final_6conv_ch4_grp1_scale1_mse_only_denoise_epoch_50_weights_1425_params_gen_metrics.txt,6conv,1425,4,1,1,0.713927567,0.713927507,0.702928603,2.926917315
best_conv6SingleHeadNet_final_6conv_ch4_grp1_scale2_mse_only_denoise_epoch_50_weights_3745_params_gen_metrics.txt,6conv,3745,4,1,2,0.715115368,0.715115309,0.702469349,2.912478209
best_conv6SingleHeadNet_final_6conv_ch4_grp1_scale4_mse_only_denoise_epoch_50_weights_12801_params_gen_metrics.txt,6conv,12801,4,1,4,0.703291178,0.703291118,0.716651678,3.05729723
best_conv6SingleHeadNet_final_6conv_ch4_grp2_scale1_mse_only_denoise_epoch_50_weights_1201_params_gen_metrics.txt,6conv,1201,4,2,1,0.716728926,0.716728866,0.706367373,2.892902136
best_conv6SingleHeadNet_final_6conv_ch4_grp2_scale2_mse_only_denoise_epoch_50_weights_2849_params_gen_metrics.txt,6conv,2849,4,2,2,0.70134306,0.701343,0.71582216,3.081390858
best_conv6SingleHeadNet_final_6conv_ch4_grp2_scale4_mse_only_denoise_epoch_50_weights_9217_params_gen_metrics.txt,6conv,9217,4,2,4,0.71280551,0.71280545,0.703609765,2.940579414
best_conv6SingleHeadNet_final_6conv_ch4_grp4_scale1_mse_only_denoise_epoch_50_weights_865_params_gen_metrics.txt,6conv,865,4,4,1,0.7200225,0.72002244,0.698929667,2.853078842
best_conv6SingleHeadNet_final_6conv_ch4_grp4_scale2_mse_only_denoise_epoch_50_weights_1841_params_gen_metrics.txt,6conv,1841,4,4,2,0.699121773,0.699121714,0.737376332,3.108943939
best_conv6SingleHeadNet_final_6conv_ch4_grp4_scale4_mse_only_denoise_epoch_50_weights_5521_params_gen_metrics.txt,6conv,5521,4,4,4,0.707091033,0.707090974,0.710717499,3.010494232
best_conv6SingleHeadNet_final_6conv_ch8_grp1_scale1_mse_only_denoise_epoch_50_weights_5473_params_gen_metrics.txt,6conv,5473,8,1,1,0.717503786,0.717503726,0.701298118,2.88351655
best_conv6SingleHeadNet_final_6conv_ch8_grp1_scale2_mse_only_denoise_epoch_50_weights_14657_params_gen_metrics.txt,6conv,14657,8,1,2,0.709749579,0.70974952,0.70754379,2.977897882
best_conv6SingleHeadNet_final_6conv_ch8_grp1_scale4_mse_only_denoise_epoch_50_weights_50689_params_gen_metrics.txt,6conv,50689,8,1,4,0.721897304,0.721897244,0.694542587,2.83049202
best_conv6SingleHeadNet_final_6conv_ch8_grp2_scale1_mse_only_denoise_epoch_50_weights_4577_params_gen_metrics.txt,6conv,4577,8,2,1,0.705714405,0.705714345,0.712005496,3.027420282
best_conv6SingleHeadNet_final_6conv_ch8_grp2_scale2_mse_only_denoise_epoch_50_weights_11073_params_gen_metrics.txt,6conv,11073,8,2,2,0.704921186,0.704921126,0.713365436,3.037189245
best_conv6SingleHeadNet_final_6conv_ch8_grp2_scale4_mse_only_denoise_epoch_50_weights_36353_params_gen_metrics.txt,6conv,36353,8,2,4,0.721096814,0.721096754,0.696537614,2.840129375
best_conv6SingleHeadNet_final_6conv_ch8_grp4_scale1_mse_only_denoise_epoch_50_weights_3233_params_gen_metrics.txt,6conv,3233,8,4,1,0.705569267,0.705569208,0.712013364,3.02920723
best_conv6SingleHeadNet_final_6conv_ch8_grp4_scale2_mse_only_denoise_epoch_50_weights_7041_params_gen_metrics.txt,6conv,7041,8,4,2,0.725486934,0.725486875,0.69131273,2.78740859
best_conv6SingleHeadNet_final_6conv_ch8_grp4_scale4_mse_only_denoise_epoch_50_weights_21569_params_gen_metrics.txt,6conv,21569,8,4,4,0.719501972,0.719501913,0.697598398,2.859360933
best_conv6SingleHeadNet_final_6conv_ch8_grp8_scale1_mse_only_denoise_epoch_50_weights_2561_params_gen_metrics.txt,6conv,2561,8,8,1,0.684885919,0.684885859,0.72991401,3.287635326
best_conv6SingleHeadNet_final_6conv_ch8_grp8_scale2_mse_only_denoise_epoch_50_weights_5025_params_gen_metrics.txt,6conv,5025,8,8,2,0.711062729,0.71106267,0.705514073,2.961841822
best_conv6SingleHeadNet_final_6conv_ch8_grp8_scale4_mse_only_denoise_epoch_50_weights_14177_params_gen_metrics.txt,6conv,14177,8,8,4,0.712061346,0.712061286,0.70586741,2.949652433
best_conv3SingleHeadNet_final_3conv_ch4_grp4_scale8_mse_only_denoise_epoch_50_weights_417_params.pth,3conv,417,4,4,8,0.729469478,0.729469419,0.687730789,2.739858389
best_conv3SingleHeadNet_final_3conv_ch16_grp16_scale1_mse_only_denoise_epoch_50_weights_1841_params.pth,3conv,1841,16,16,1,0.722150922,0.722150862,0.695188582,2.827440739
best_conv3SingleHeadNet_final_3conv_ch16_grp16_scale2_mse_only_denoise_epoch_50_weights_2145_params.pth,3conv,2145,16,16,2,0.73053658,0.73053652,0.688307285,2.727161407
best_conv3SingleHeadNet_final_3conv_ch24_grp24_scale1_mse_only_denoise_epoch_50_weights_3721_params.pth,3conv,3721,24,24,1,0.714226127,0.714226067,0.701368988,2.9232862
best_conv3SingleHeadNet_final_3conv_ch24_grp24_scale2_mse_only_denoise_epoch_50_weights_4369_params.pth,3conv,4369,24,24,2,0.709278524,0.709278464,0.707814515,2.983664274
best_conv3SingleHeadNet_final_3conv_ch24_grp24_scale4_mse_only_denoise_epoch_50_weights_5665_params.pth,3conv,5665,24,24,4,0.720179319,0.72017926,0.6965729,2.851187706
best_conv3SingleHeadNet_final_3conv_ch24_grp24_scale8_mse_only_denoise_epoch_50_weights_8257_params.pth,3conv,8257,24,24,8,0.724434793,0.724434733,0.689988852,2.800014973
best_conv4SingleHeadNet_final_4conv_ch4_grp4_scale8_mse_only_denoise_epoch_50_weights_469_params.pth,4conv,469,4,4,8,0.71315223,0.71315217,0.703735828,2.936355114
best_conv4SingleHeadNet_final_4conv_ch16_grp16_scale1_mse_only_denoise_epoch_50_weights_2241_params.pth,4conv,2241,16,16,1,0.712735653,0.712735593,0.705422759,2.941430569
best_conv4SingleHeadNet_final_4conv_ch16_grp16_scale2_mse_only_denoise_epoch_50_weights_2545_params.pth,4conv,2545,16,16,2,0.72169596,0.7216959,0.694462001,2.832915306
best_conv4SingleHeadNet_final_4conv_ch24_grp24_scale1_mse_only_denoise_epoch_50_weights_4513_params.pth,4conv,4513,24,24,1,0.707674265,0.707674205,0.708500803,3.003332615
best_conv4SingleHeadNet_final_4conv_ch24_grp24_scale2_mse_only_denoise_epoch_50_weights_5161_params.pth,4conv,5161,24,24,2,0.715577483,0.715577424,0.70208317,2.906867027
best_conv4SingleHeadNet_final_4conv_ch24_grp24_scale4_mse_only_denoise_epoch_50_weights_6457_params.pth,4conv,6457,24,24,4,0.709509552,0.709509492,0.707769156,2.980835676
best_conv4SingleHeadNet_final_4conv_ch24_grp24_scale8_mse_only_denoise_epoch_50_weights_9049_params.pth,4conv,9049,24,24,8,0.726125181,0.726125121,0.694694817,2.779770374
best_conv5SingleHeadNet_final_5conv_ch16_grp16_scale1_mse_only_denoise_epoch_50_weights_3041_params.pth,5conv,3041,16,16,1,0.715593994,0.715593934,0.700155377,2.906666756
best_conv5SingleHeadNet_final_5conv_ch24_grp24_scale1_mse_only_denoise_epoch_50_weights_6097_params.pth,5conv,6097,24,24,1,0.71744746,0.7174474,0.698040843,2.884198427
best_conv5SingleHeadNet_final_5conv_ch24_grp24_scale2_mse_only_denoise_epoch_50_weights_7801_params.pth,5conv,7801,24,24,2,0.724736154,0.724736094,0.695172906,2.796401978
